"","playerID","yearID","ballots","needed","votes","inducted","category","name_given","name_nick"
"1","cobbty01",1936,226,170,222,"Y","Player","Tyrus Raymond","The Georgia Peach"
"2","ruthba01",1936,226,170,215,"Y","Player","George Herman","The Bambino; The Sultan of Swat"
"3","wagneho01",1936,226,170,215,"Y","Player","John Peter","The Flying Dutchman"
"4","mathech01",1936,226,170,205,"Y","Player","Christopher","Big Six; Matty"
"5","johnswa01",1936,226,170,189,"Y","Player",NA,NA
"6","lajoina01",1936,226,170,146,"N","Player","Napoleon","Larry; Poli"
"7","speaktr01",1936,226,170,133,"N","Player","Tristram Edgar","The Grey Eagle"
"8","youngcy01",1936,226,170,111,"N","Player","Denton True",""
"9","hornsro01",1936,226,170,105,"N","Player","Rogers","Rajah"
"10","cochrmi01",1936,226,170,80,"N","Player","Gordon Stanley","Black Mike"
"11","sislege01",1936,226,170,77,"N","Player","George Harold","Gorgeous George"
"12","collied01",1936,226,170,60,"N","Player","Edward Trowbridge","Cocky"
"13","colliji01",1936,226,170,58,"N","Player","James Joseph",""
"14","alexape01",1936,226,170,55,"N","Player","Grover Cleveland",""
"15","gehrilo01",1936,226,170,51,"N","Player","Henry Louis","The Iron Horse; Biscuit Pants"
"16","bresnro01",1936,226,170,47,"N","Player","Roger Philip","The Duke Of Tralee"
"17","keelewi01",1936,226,170,40,"N","Player",NA,NA
"18","ansonca01",1936,78,59,39,"N","Player","Adrian Constantine","Pop"
"19","ewingbu01",1936,78,59,39,"N","Player","William",""
"20","keelewi01",1936,78,59,33,"N","Player",NA,NA
"21","wadderu01",1936,226,170,33,"N","Player","George Edward",""
"22","youngcy01",1936,78,59,32,"N","Player","Denton True",""
"23","delahed01",1936,78,59,21,"N","Player","Edward James","Big Ed"
"24","foxxji01",1936,226,170,21,"N","Player","James Emory","Beast; Double X"
"25","walshed01",1936,226,170,20,"N","Player","Edward Augustine","Big Ed"
"26","mcgrajo01",1936,78,59,17,"N","Player","John Joseph","Mugsy; Little Napoleon"
"27","delahed01",1936,226,170,17,"N","Player","Edward James","Big Ed"
"28","radboch01",1936,78,59,16,"N","Player","Charles Gardner",""
"29","traynpi01",1936,226,170,16,"N","Player","Harold Joseph",""
"30","kellyki01",1936,78,59,15,"N","Player","Michael Joseph",""
"31","longhe01",1936,78,59,15,"N","Player","Herman C.","Germany; Flying Dutchman"
"32","friscfr01",1936,226,170,14,"N","Player",NA,NA
"33","grovele01",1936,226,170,12,"N","Player","Robert Moses",""
"34","jennihu01",1936,78,59,11,"N","Player","Hugh Ambrose","Ee-Yah"
"35","rusieam01",1936,78,59,11,"N","Player","Amos Wilson","The Hoosier Thunderbolt"
"36","chaseha01",1936,226,170,11,"N","Player","Harold Homer","Prince Hal"
"37","youngro01",1936,226,170,10,"N","Player",NA,NA
"38","clarkfr01",1936,78,59,9,"N","Player","Fred Clifford","Cap"
"39","terrybi01",1936,226,170,9,"N","Player","William Harold","Memphis Bill"
"40","colliji01",1936,78,59,8,"N","Player","James Joseph",""
"41","klingjo01",1936,226,170,8,"N","Player","John","Noisy"
"42","crigelo01",1936,226,170,7,"N","Player","Louis",""
"43","comisch01",1936,78,59,6,"N","Player","Charles Albert","Commy; The Old Roman"
"44","dennyje01",1936,78,59,6,"N","Player","Jeremiah Dennis",""
"45","langebi01",1936,78,59,6,"N","Player","William Alexander","Little Eva"
"46","robinwi01",1936,78,59,6,"N","Player","Wilbert","Uncle Robbie"
"47","stoveha01",1936,78,59,6,"N","Player","Harry Duffield",""
"48","wrighge01",1936,78,59,6,"N","Player","George",""
"49","brownmo01",1936,226,170,6,"N","Player","Mordecai Peter Centennial","Three Finger; Miner"
"50","eversjo01",1936,226,170,6,"N","Player","John Joseph","Crab; Trojan"
"51","clarkjo01",1936,78,59,5,"N","Player","John Gibson",""
"52","wagneho01",1936,78,59,5,"N","Player","John Peter","The Flying Dutchman"
"53","chancfr01",1936,226,170,5,"N","Player","Frank Leroy","Husk; The Peerless Leader"
"54","spaldal01",1936,78,59,4,"N","Player","Albert Goodwill",""
"55","mcgrajo01",1936,226,170,4,"N","Player","John Joseph","Mugsy; Little Napoleon"
"56","schalra01",1936,226,170,4,"N","Player","Ray William","Cracker"
"57","simmoal01",1936,226,170,4,"N","Player","Aloysius Harry","Bucketfoot Al"
"58","barnero01",1936,78,59,3,"N","Player","Charles Roscoe",""
"59","bennech01",1936,78,59,3,"N","Player","Charles Wesley",""
"60","duffyhu01",1936,78,59,3,"N","Player","Hugh",""
"61","nichoki01",1936,78,59,3,"N","Player","Charles Augustus",""
"62","wardjo01",1936,78,59,3,"N","Player","John Montgomery",""
"63","broutda01",1936,78,59,2,"N","Player","Dennis Joseph","Big Dan"
"64","dunlafr01",1936,78,59,2,"N","Player","Frederick C.","Sure Shot"
"65","glassja01",1936,78,59,2,"N","Player",NA,NA
"66","hamilbi01",1936,78,59,2,"N","Player","William Robert","Sliding Billy"
"67","lajoina01",1936,78,59,2,"N","Player","Napoleon","Larry; Poli"
"68","willine01",1936,78,59,2,"N","Player","Edward Nagle",""
"69","bendech01",1936,226,170,2,"N","Player",NA,NA
"70","jacksjo01",1936,226,170,2,"N","Player","Joseph Walker",""
"71","roushed01",1936,226,170,2,"N","Player","Edd J.",""
"72","allisdo01",1936,78,59,1,"N","Player","Douglas L.",""
"73","battijo01",1936,78,59,1,"N","Player","Joseph V.",""
"74","becklja01",1936,78,59,1,"N","Player","Jacob Peter","Eagle Eye"
"75","bondto01",1936,78,59,1,"N","Player","Thomas Henry",""
"76","burkeje01",1936,78,59,1,"N","Player","Jesse Cail","Crab"
"77","crigelo01",1936,78,59,1,"N","Player","Louis",""
"78","dahlebi01",1936,78,59,1,"N","Player","William Frederick","Bad Bill"
"79","daubeja01",1936,78,59,1,"N","Player","Jacob Ellsworth",""
"80","doyleja01",1936,78,59,1,"N","Player","John Joseph","Dirty Jack"
"81","keefeti01",1936,78,59,1,"N","Player","Timothy John","Smiling Tim; Sir Timothy"
"82","kilroma01",1936,78,59,1,"N","Player","Matthew Aloysius","Matches"
"83","lathaar01",1936,78,59,1,"N","Player","Walter Arlington","The Freshest Man On Earth"
"84","lowebo01",1936,78,59,1,"N","Player","Robert Lincoln","Link"
"85","mcaleji01",1936,78,59,1,"N","Player","James Robert","Loafer"
"86","mccarto01",1936,78,59,1,"N","Player","Thomas Francis Michael",""
"87","mcveyca01",1936,78,59,1,"N","Player","Calvin Alexander",""
"88","paborch01",1936,78,59,1,"N","Player","Charles Henry",""
"89","pikeli01",1936,78,59,1,"N","Player","Lipman Emanuel",""
