"","player","year","hr"
"1","youngcy01",1890,0
"2","youngcy01",1891,1
"3","keelewi01",1892,0
"4","youngcy01",1892,1
"5","keelewi01",1893,1
"6","keelewi01",1893,1
"7","youngcy01",1893,1
"8","keelewi01",1894,5
"9","youngcy01",1894,2
"10","keelewi01",1895,4
"11","youngcy01",1895,0
"12","keelewi01",1896,4
"13","lajoina01",1896,4
"14","youngcy01",1896,3
"15","keelewi01",1897,0
"16","lajoina01",1897,9
"17","wagneho01",1897,2
"18","youngcy01",1897,0
"19","keelewi01",1898,1
"20","lajoina01",1898,6
"21","wagneho01",1898,10
"22","youngcy01",1898,2
"23","keelewi01",1899,1
"24","lajoina01",1899,6
"25","wagneho01",1899,7
"26","youngcy01",1899,1
"27","keelewi01",1900,4
"28","lajoina01",1900,7
"29","mathech01",1900,0
"30","wagneho01",1900,4
"31","youngcy01",1900,1
"32","keelewi01",1901,2
"33","lajoina01",1901,14
"34","mathech01",1901,0
"35","wagneho01",1901,6
"36","youngcy01",1901,0
"37","keelewi01",1902,0
"38","lajoina01",1902,0
"39","lajoina01",1902,7
"40","mathech01",1902,2
"41","wagneho01",1902,3
"42","youngcy01",1902,1
"43","keelewi01",1903,0
"44","lajoina01",1903,7
"45","mathech01",1903,1
"46","wagneho01",1903,5
"47","youngcy01",1903,1
"48","keelewi01",1904,2
"49","lajoina01",1904,5
"50","mathech01",1904,0
"51","wagneho01",1904,4
"52","youngcy01",1904,1
"53","cobbty01",1905,1
"54","keelewi01",1905,4
"55","lajoina01",1905,2
"56","mathech01",1905,2
"57","wagneho01",1905,6
"58","youngcy01",1905,2
"59","cobbty01",1906,1
"60","collied01",1906,0
"61","keelewi01",1906,2
"62","lajoina01",1906,0
"63","mathech01",1906,0
"64","wagneho01",1906,2
"65","youngcy01",1906,0
"66","cobbty01",1907,5
"67","collied01",1907,0
"68","johnswa01",1907,0
"69","keelewi01",1907,0
"70","lajoina01",1907,2
"71","mathech01",1907,0
"72","speaktr01",1907,0
"73","wagneho01",1907,6
"74","youngcy01",1907,1
"75","cobbty01",1908,4
"76","collied01",1908,1
"77","johnswa01",1908,0
"78","keelewi01",1908,1
"79","lajoina01",1908,2
"80","mathech01",1908,0
"81","speaktr01",1908,0
"82","wagneho01",1908,10
"83","youngcy01",1908,0
"84","cobbty01",1909,9
"85","collied01",1909,3
"86","johnswa01",1909,1
"87","keelewi01",1909,1
"88","lajoina01",1909,1
"89","mathech01",1909,1
"90","speaktr01",1909,7
"91","wagneho01",1909,5
"92","youngcy01",1909,0
"93","cobbty01",1910,8
