inning,half,outs,base_state,score_diff,win_prob,n
1,top,0,0,-6,0.06697,373
1,top,0,0,-5,0.1071,557
1,top,0,0,-4,0.16219,831
1,top,0,0,-3,0.23303,1240
1,top,0,0,-2,0.31835,1849
1,top,0,0,-1,0.41459,2759
1,top,0,0,0,0.51628,4116
1,top,0,0,1,0.61691,2759
1,top,0,0,2,0.71019,1849
1,top,0,0,3,0.79118,1240
1,top,0,0,4,0.85703,831
1,top,0,0,5,0.90719,557
1,top,0,0,6,0.94297,373
1,top,0,1,-6,0.05528,205
1,top,0,1,-5,0.09027,306
1,top,0,1,-4,0.13952,457
1,top,0,1,-3,0.20443,682
1,top,0,1,-2,0.28458,1017
1,top,0,1,-1,0.37724,1517
1,top,0,1,0,0.47761,2264
1,top,0,1,1,0.57942,1517
1,top,0,1,2,0.67615,1017
1,top,0,1,3,0.76224,682
1,top,0,1,4,0.834,457
1,top,0,1,5,0.89003,306
1,top,0,1,6,0.93099,205
1,top,0,2,-6,0.0487,112
1,top,0,2,-5,0.08062,167
1,top,0,2,-4,0.12624,249
1,top,0,2,-3,0.18734,372
1,top,0,2,-2,0.26398,555
1,top,0,2,-1,0.35399,828
1,top,0,2,0,0.45304,1235
1,top,0,2,1,0.55511,828
1,top,0,2,2,0.65363,555
1,top,0,2,3,0.7427,372
1,top,0,2,4,0.81813,249
1,top,0,2,5,0.87796,167
1,top,0,2,6,0.9224,112
1,top,0,3,-6,0.04058,67
1,top,0,3,-5,0.06845,100
1,top,0,3,-4,0.1092,150
1,top,0,3,-3,0.16498,223
1,top,0,3,-2,0.2365,333
1,top,0,3,-1,0.32239,497
1,top,0,3,0,0.419,741
1,top,0,3,1,0.52078,497
1,top,0,3,2,0.62122,333
1,top,0,3,3,0.71404,223
1,top,0,3,4,0.7944,150
1,top,0,3,5,0.85956,100
1,top,0,3,6,0.90905,67
1,top,0,4,-6,0.04256,37
1,top,0,4,-5,0.07145,56
1,top,0,4,-4,0.11343,83
1,top,0,4,-3,0.17058,124
1,top,0,4,-2,0.24344,185
1,top,0,4,-1,0.33044,276
1,top,0,4,0,0.42774,412
1,top,0,4,1,0.52967,276
1,top,0,4,2,0.62968,185
1,top,0,4,3,0.72159,124
1,top,0,4,4,0.8007,83
1,top,0,4,5,0.86448,56
1,top,0,4,6,0.91265,37
1,top,0,5,-6,0.03339,37
1,top,0,5,-5,0.05746,56
1,top,0,5,-4,0.09344,83
1,top,0,5,-3,0.14384,124
1,top,0,5,-2,0.20994,185
1,top,0,5,-1,0.29114,276
1,top,0,5,0,0.38458,412
1,top,0,5,1,0.48528,276
1,top,0,5,2,0.58693,185
1,top,0,5,3,0.68304,124
1,top,0,5,4,0.76815,83
1,top,0,5,5,0.83875,56
1,top,0,5,6,0.8936,37
1,top,0,6,-6,0.0301,26
1,top,0,6,-5,0.05233,39
1,top,0,6,-4,0.08596,58
1,top,0,6,-3,0.13362,87
1,top,0,6,-2,0.19688,129
1,top,0,6,-1,0.27551,193
1,top,0,6,0,0.36705,288
1,top,0,6,1,0.46689,193
1,top,0,6,2,0.56886,129
1,top,0,6,3,0.66641,87
1,top,0,6,4,0.75383,58
1,top,0,6,5,0.8272,39
1,top,0,6,6,0.88488,26
1,top,0,7,-6,0.02479,19
1,top,0,7,-5,0.04393,28
1,top,0,7,-4,0.0735,42
1,top,0,7,-3,0.11632,62
1,top,0,7,-2,0.17438,92
1,top,0,7,-1,0.24813,138
1,top,0,7,0,0.33585,206
1,top,0,7,1,0.43359,138
1,top,0,7,2,0.53558,92
1,top,0,7,3,0.63528,62
1,top,0,7,4,0.72656,42
1,top,0,7,5,0.80483,28
1,top,0,7,6,0.8677,19
1,top,1,0,-6,0.07487,336
1,top,1,0,-5,0.11824,501
1,top,1,0,-4,0.1769,748
1,top,1,0,-3,0.25122,1116
1,top,1,0,-2,0.33941,1664
1,top,1,0,-1,0.43742,2483
1,top,1,0,0,0.53946,3704
1,top,1,0,1,0.63894,2483
1,top,1,0,2,0.72979,1664
1,top,1,0,3,0.80751,1116
1,top,1,0,4,0.86977,748
1,top,1,0,5,0.9165,501
1,top,1,0,6,0.94934,336
1,top,1,1,-6,0.06605,185
1,top,1,1,-5,0.10578,276
1,top,1,1,-4,0.16043,411
1,top,1,1,-3,0.23084,614
1,top,1,1,-2,0.31579,915
1,top,1,1,-1,0.4118,1366
1,top,1,1,0,0.51342,2037
1,top,1,1,1,0.61417,1366
1,top,1,1,2,0.70773,915
1,top,1,1,3,0.78911,614
1,top,1,1,4,0.8554,411
1,top,1,1,5,0.90599,276
1,top,1,1,6,0.94215,185
1,top,1,2,-6,0.06109,101
1,top,1,2,-5,0.09869,150
1,top,1,2,-4,0.15093,224
1,top,1,2,-3,0.21892,335
1,top,1,2,-2,0.30179,499
1,top,1,2,-1,0.39639,745
1,top,1,2,0,0.49755,1111
1,top,1,2,1,0.59887,745
1,top,1,2,2,0.69392,499
1,top,1,2,3,0.77743,335
1,top,1,2,4,0.84617,224
1,top,1,2,5,0.89915,150
1,top,1,2,6,0.9374,101
1,top,1,3,-6,0.05456,60
1,top,1,3,-5,0.08923,90
1,top,1,3,-4,0.1381,135
1,top,1,3,-3,0.20262,201
1,top,1,3,-2,0.2824,300
1,top,1,3,-1,0.37481,447
1,top,1,3,0,0.47505,667
1,top,1,3,1,0.57691,447
1,top,1,3,2,0.67384,300
1,top,1,3,3,0.76025,201
1,top,1,3,4,0.8324,135
1,top,1,3,5,0.88881,90
1,top,1,3,6,0.93014,60
1,top,1,4,-6,0.05272,34
1,top,1,4,-5,0.08653,50
1,top,1,4,-4,0.1344,75
1,top,1,4,-3,0.19788,112
1,top,1,4,-2,0.27671,166
1,top,1,4,-1,0.36841,248
1,top,1,4,0,0.46831,370
1,top,1,4,1,0.57027,248
1,top,1,4,2,0.66772,166
1,top,1,4,3,0.75496,112
1,top,1,4,4,0.82812,75
1,top,1,4,5,0.88557,50
1,top,1,4,6,0.92784,34
1,top,1,5,-6,0.04793,34
1,top,1,5,-5,0.07947,50
1,top,1,5,-4,0.12466,75
1,top,1,5,-3,0.18528,112
1,top,1,5,-2,0.26146,166
1,top,1,5,-1,0.35113,248
1,top,1,5,0,0.44999,370
1,top,1,5,1,0.55206,248
1,top,1,5,2,0.65078,166
1,top,1,5,3,0.74021,112
1,top,1,5,4,0.81609,75
1,top,1,5,5,0.87639,50
1,top,1,5,6,0.92128,34
1,top,1,6,-6,0.04196,24
1,top,1,6,-5,0.07054,35
1,top,1,6,-4,0.11216,52
1,top,1,6,-3,0.16889,78
1,top,1,6,-2,0.24135,117
1,top,1,6,-1,0.32802,174
1,top,1,6,0,0.42512,259
1,top,1,6,1,0.52701,174
1,top,1,6,2,0.62715,117
1,top,1,6,3,0.71934,78
1,top,1,6,4,0.79883,52
1,top,1,6,5,0.86303,35
1,top,1,6,6,0.91159,24
1,top,1,7,-6,0.0383,17
1,top,1,7,-5,0.065,25
1,top,1,7,-4,0.10429,37
1,top,1,7,-3,0.15844,56
1,top,1,7,-2,0.22835,83
1,top,1,7,-1,0.31288,124
1,top,1,7,0,0.4086,185
1,top,1,7,1,0.51014,124
1,top,1,7,2,0.61102,83
1,top,1,7,3,0.7049,56
1,top,1,7,4,0.78673,37
1,top,1,7,5,0.85353,25
1,top,1,7,6,0.90461,17
1,top,2,0,-6,0.08069,317
1,top,2,0,-5,0.12635,473
1,top,2,0,-4,0.18748,706
1,top,2,0,-3,0.26414,1054
1,top,2,0,-2,0.35418,1572
1,top,2,0,-1,0.45324,2345
1,top,2,0,0,0.55531,3499
1,top,2,0,1,0.65382,2345
1,top,2,0,2,0.74287,1572
1,top,2,0,3,0.81827,1054
1,top,2,0,4,0.87806,706
1,top,2,0,5,0.92248,473
1,top,2,0,6,0.95338,317
1,top,2,1,-6,0.07596,175
1,top,2,1,-5,0.11977,260
1,top,2,1,-4,0.17891,388
1,top,2,1,-3,0.25368,580
1,top,2,1,-2,0.34223,865
1,top,2,1,-1,0.44046,1290
1,top,2,1,0,0.54251,1924
1,top,2,1,1,0.64182,1290
1,top,2,1,2,0.73233,865
1,top,2,1,3,0.80961,580
1,top,2,1,4,0.8714,388
1,top,2,1,5,0.91767,260
1,top,2,1,6,0.95014,175
1,top,2,2,-6,0.07254,95
1,top,2,2,-5,0.11497,142
1,top,2,2,-4,0.17261,212
1,top,2,2,-3,0.24594,316
1,top,2,2,-2,0.33332,472
1,top,2,2,-1,0.43086,704
1,top,2,2,0,0.53283,1050
1,top,2,2,1,0.63268,704
1,top,2,2,2,0.72425,472
1,top,2,2,3,0.80291,316
1,top,2,2,4,0.86621,212
1,top,2,2,5,0.91391,142
1,top,2,2,6,0.94758,95
1,top,2,3,-6,0.06872,57
1,top,2,3,-5,0.10958,85
1,top,2,3,-4,0.16549,127
1,top,2,3,-3,0.23713,190
1,top,2,3,-2,0.32313,283
1,top,2,3,-1,0.4198,422
1,top,2,3,0,0.5216,630
1,top,2,3,1,0.622,422
1,top,2,3,2,0.71474,283
1,top,2,3,3,0.79499,190
1,top,2,3,4,0.86002,127
1,top,2,3,5,0.90939,85
1,top,2,3,6,0.94448,57
1,top,2,4,-6,0.07134,32
1,top,2,4,-5,0.11328,47
1,top,2,4,-4,0.17039,71
1,top,2,4,-3,0.2432,105
1,top,2,4,-2,0.33016,157
1,top,2,4,-1,0.42744,235
1,top,2,4,0,0.52936,350
1,top,2,4,1,0.62939,235
