"playerID","yearID","ballots","needed","votes","over_needed","inducted","category","name_given","name_nick"
"cobbty01",1936,226,170,222,52,"Y","Player","Tyrus Raymond","The Georgia Peach"
"ruthba01",1936,226,170,215,45,"Y","Player","George Herman","The Bambino; The Sultan of Swat"
"wagneho01",1936,226,170,215,45,"Y","Player","John Peter","The Flying Dutchman"
"mathech01",1936,226,170,205,35,"Y","Player","Christopher","Big Six; Matty"
"johnswa01",1936,226,170,189,19,"Y","Player",NA,NA
"lajoina01",1936,226,170,146,-24,"N","Player","Napoleon","Larry; Poli"
"speaktr01",1936,226,170,133,-37,"N","Player","Tristram Edgar","The Grey Eagle"
"youngcy01",1936,226,170,111,-59,"N","Player","Denton True",""
"hornsro01",1936,226,170,105,-65,"N","Player","Rogers","Rajah"
"cochrmi01",1936,226,170,80,-90,"N","Player","Gordon Stanley","Black Mike"
"sislege01",1936,226,170,77,-93,"N","Player","George Harold","Gorgeous George"
"collied01",1936,226,170,60,-110,"N","Player","Edward Trowbridge","Cocky"
"colliji01",1936,226,170,58,-112,"N","Player","James Joseph",""
"alexape01",1936,226,170,55,-115,"N","Player","Grover Cleveland",""
"gehrilo01",1936,226,170,51,-119,"N","Player","Henry Louis","The Iron Horse; Biscuit Pants"
"bresnro01",1936,226,170,47,-123,"N","Player","Roger Philip","The Duke Of Tralee"
"keelewi01",1936,226,170,40,-130,"N","Player",NA,NA
"ansonca01",1936,78,59,39,-20,"N","Player","Adrian Constantine","Pop"
"ewingbu01",1936,78,59,39,-20,"N","Player","William",""
"keelewi01",1936,78,59,33,-26,"N","Player",NA,NA
"wadderu01",1936,226,170,33,-137,"N","Player","George Edward",""
"youngcy01",1936,78,59,32,-27,"N","Player","Denton True",""
"delahed01",1936,78,59,21,-38,"N","Player","Edward James","Big Ed"
"foxxji01",1936,226,170,21,-149,"N","Player","James Emory","Beast; Double X"
"walshed01",1936,226,170,20,-150,"N","Player","Edward Augustine","Big Ed"
"mcgrajo01",1936,78,59,17,-42,"N","Player","John Joseph","Mugsy; Little Napoleon"
"delahed01",1936,226,170,17,-153,"N","Player","Edward James","Big Ed"
"radboch01",1936,78,59,16,-43,"N","Player","Charles Gardner",""
"traynpi01",1936,226,170,16,-154,"N","Player","Harold Joseph",""
"kellyki01",1936,78,59,15,-44,"N","Player","Michael Joseph",""
"longhe01",1936,78,59,15,-44,"N","Player","Herman C.","Germany; Flying Dutchman"
"friscfr01",1936,226,170,14,-156,"N","Player",NA,NA
"grovele01",1936,226,170,12,-158,"N","Player","Robert Moses",""
"jennihu01",1936,78,59,11,-48,"N","Player","Hugh Ambrose","Ee-Yah"
"rusieam01",1936,78,59,11,-48,"N","Player","Amos Wilson","The Hoosier Thunderbolt"
"chaseha01",1936,226,170,11,-159,"N","Player","Harold Homer","Prince Hal"
"youngro01",1936,226,170,10,-160,"N","Player",NA,NA
"clarkfr01",1936,78,59,9,-50,"N","Player","Fred Clifford","Cap"
"terrybi01",1936,226,170,9,-161,"N","Player","William Harold","Memphis Bill"
"colliji01",1936,78,59,8,-51,"N","Player","James Joseph",""
"klingjo01",1936,226,170,8,-162,"N","Player","John","Noisy"
"crigelo01",1936,226,170,7,-163,"N","Player","Louis",""
"comisch01",1936,78,59,6,-53,"N","Player","Charles Albert","Commy; The Old Roman"
"dennyje01",1936,78,59,6,-53,"N","Player","Jeremiah Dennis",""
"langebi01",1936,78,59,6,-53,"N","Player","William Alexander","Little Eva"
"robinwi01",1936,78,59,6,-53,"N","Player","Wilbert","Uncle Robbie"
"stoveha01",1936,78,59,6,-53,"N","Player","Harry Duffield",""
"wrighge01",1936,78,59,6,-53,"N","Player","George",""
"brownmo01",1936,226,170,6,-164,"N","Player","Mordecai Peter Centennial","Three Finger; Miner"
"eversjo01",1936,226,170,6,-164,"N","Player","John Joseph","Crab; Trojan"
"clarkjo01",1936,78,59,5,-54,"N","Player","John Gibson",""
"wagneho01",1936,78,59,5,-54,"N","Player","John Peter","The Flying Dutchman"
"chancfr01",1936,226,170,5,-165,"N","Player","Frank Leroy","Husk; The Peerless Leader"
"spaldal01",1936,78,59,4,-55,"N","Player","Albert Goodwill",""
"mcgrajo01",1936,226,170,4,-166,"N","Player","John Joseph","Mugsy; Little Napoleon"
"schalra01",1936,226,170,4,-166,"N","Player","Ray William","Cracker"
"simmoal01",1936,226,170,4,-166,"N","Player","Aloysius Harry","Bucketfoot Al"
"barnero01",1936,78,59,3,-56,"N","Player","Charles Roscoe",""
"bennech01",1936,78,59,3,-56,"N","Player","Charles Wesley",""
"duffyhu01",1936,78,59,3,-56,"N","Player","Hugh",""
"nichoki01",1936,78,59,3,-56,"N","Player","Charles Augustus",""
"wardjo01",1936,78,59,3,-56,"N","Player","John Montgomery",""
"broutda01",1936,78,59,2,-57,"N","Player","Dennis Joseph","Big Dan"
"dunlafr01",1936,78,59,2,-57,"N","Player","Frederick C.","Sure Shot"
"glassja01",1936,78,59,2,-57,"N","Player",NA,NA
"hamilbi01",1936,78,59,2,-57,"N","Player","William Robert","Sliding Billy"
"lajoina01",1936,78,59,2,-57,"N","Player","Napoleon","Larry; Poli"
"willine01",1936,78,59,2,-57,"N","Player","Edward Nagle",""
"bendech01",1936,226,170,2,-168,"N","Player",NA,NA
"jacksjo01",1936,226,170,2,-168,"N","Player","Joseph Walker",""
"roushed01",1936,226,170,2,-168,"N","Player","Edd J.",""
"allisdo01",1936,78,59,1,-58,"N","Player","Douglas L.",""
"battijo01",1936,78,59,1,-58,"N","Player","Joseph V.",""
"becklja01",1936,78,59,1,-58,"N","Player","Jacob Peter","Eagle Eye"
"bondto01",1936,78,59,1,-58,"N","Player","Thomas Henry",""
"burkeje01",1936,78,59,1,-58,"N","Player","Jesse Cail","Crab"
"crigelo01",1936,78,59,1,-58,"N","Player","Louis",""
"dahlebi01",1936,78,59,1,-58,"N","Player","William Frederick","Bad Bill"
"daubeja01",1936,78,59,1,-58,"N","Player","Jacob Ellsworth",""
"doyleja01",1936,78,59,1,-58,"N","Player","John Joseph","Dirty Jack"
"keefeti01",1936,78,59,1,-58,"N","Player","Timothy John","Smiling Tim; Sir Timothy"
"kilroma01",1936,78,59,1,-58,"N","Player","Matthew Aloysius","Matches"
"lathaar01",1936,78,59,1,-58,"N","Player","Walter Arlington","The Freshest Man On Earth"
"lowebo01",1936,78,59,1,-58,"N","Player","Robert Lincoln","Link"
"mcaleji01",1936,78,59,1,-58,"N","Player","James Robert","Loafer"
"mccarto01",1936,78,59,1,-58,"N","Player","Thomas Francis Michael",""
"mcveyca01",1936,78,59,1,-58,"N","Player","Calvin Alexander",""
